Sector,Weekly,Monthly,Yearly
 BANK,-2.096003092,8.95,69.68
 AUTO,-1.060467957,9.74,64.12
 FINANCIAL SERVICES,-1.195604343,7.96,64.56
 FMCG,0.560842508,2.49,22.31
 IT,3.545986265,10.28,95.92
 MEDIA,1.201674732,17.29,46.15
 METAL,0.510770388,6.2,175
 PHARMA,2.701329163,4.17,44.89
 PSU BANK,-2.473356927,12.77,83
 PRIVATE BANK,-2.39451917,7.98,61.95
 REALTY,-0.085034014,19.1,74.86
 COMMODITIES,-0.053239024,7.78,87.01
 ENERGY,-0.287071652,11.5,50.1
 SERVICES SECTOR,-0.252521187,7.85,65.65
